Time(s),ChangePercentage
152.78,0.41
152.98,0.40
153.18,0.00
153.38,0.41
153.58,0.42
153.78,0.43
153.98,0.43
154.18,0.41
154.38,0.00
154.58,0.41
154.78,0.41
154.98,0.40
155.18,0.40
155.38,0.00
155.58,0.40
155.78,0.42
155.98,0.42
156.18,0.41
156.38,0.00
156.58,0.41
156.78,0.42
156.98,0.43
157.18,0.43
157.38,0.00
157.58,0.43
157.78,0.43
157.98,0.41
158.18,0.42
158.38,0.43
158.58,0.00
158.78,0.43
158.98,0.43
159.18,11.40
159.38,0.42
159.58,0.40
159.78,0.00
159.98,0.40
160.18,0.41
160.38,0.41
160.58,0.41
160.78,0.00
160.98,0.41
161.18,0.40
161.38,0.41
161.58,0.43
161.78,0.42
161.98,0.41
162.18,0.00
162.38,0.42
162.58,0.41
162.78,0.41
162.98,0.00
163.18,10.29
163.38,0.40
163.58,0.41
163.78,0.42
163.98,0.42
164.18,0.00
164.38,0.40
164.58,0.41
164.78,0.42
164.98,0.41
165.18,0.41
165.38,0.00
165.58,0.40
165.78,0.41
165.98,0.41
166.18,0.41
166.38,0.00
166.58,0.42
166.78,0.42
166.98,0.42
167.18,0.43
167.38,0.43
167.58,0.00
167.78,0.41
167.98,0.41
168.18,0.41
168.38,0.41
168.58,0.42
168.78,0.00
168.98,0.43
169.18,0.43
169.38,0.42
169.58,0.41
169.78,0.00
169.98,0.41
170.18,0.42
170.38,0.40
170.58,0.41
170.78,0.00
170.98,9.32
171.18,0.42
171.38,0.43
171.58,0.41
171.78,0.41
171.98,0.00
172.18,0.41
172.38,0.41
172.58,0.42
172.78,0.42
172.98,0.42
173.18,0.00
173.38,0.43
173.58,0.43
173.78,0.41
173.98,0.41
174.18,0.00
174.38,0.42
174.58,0.42
174.78,12.61
174.98,0.42
175.18,0.42
175.38,0.00
175.58,0.43
175.78,0.43
175.98,0.43
176.18,0.42
176.38,0.00
176.58,0.43
176.78,0.43
176.98,0.41
177.18,0.41
177.38,0.00
177.58,0.41
177.78,0.40
177.98,0.41
178.18,0.42
178.38,0.42
178.58,0.42
178.78,0.00
178.98,0.42
179.18,0.41
179.38,0.41
179.58,0.41
179.78,0.00
179.98,0.43
180.18,0.42
180.38,0.41
180.58,0.41
180.78,0.00
180.98,0.42
181.18,0.42
181.38,0.40
181.58,0.41
181.78,0.43
181.98,0.00
182.18,0.42
182.38,0.41
182.58,0.41
182.78,0.42
182.98,0.42
183.18,0.00
183.38,0.42
183.58,0.42
183.78,0.41
183.98,0.42
