Time(s),ChangePercentage
147.18,0.00
147.38,0.40
147.58,0.00
147.78,0.40
147.98,0.00
148.18,0.00
148.38,0.40
148.58,13.38
148.78,0.00
148.98,0.00
149.18,0.38
149.38,0.00
149.58,0.39
149.78,0.00
149.98,0.39
150.18,0.00
150.38,0.39
150.58,0.00
150.78,0.40
150.98,0.00
151.18,0.39
151.38,0.00
151.58,0.38
151.78,0.00
151.98,0.39
152.18,0.00
152.38,0.39
152.58,0.00
152.78,0.38
152.98,0.00
153.18,0.38
153.38,0.00
153.58,0.38
153.78,0.00
153.98,0.00
154.18,0.39
154.38,0.00
154.58,0.39
154.78,0.00
154.98,0.38
155.18,0.00
155.38,0.39
155.58,0.00
155.78,0.39
155.98,0.00
156.18,0.39
156.38,0.00
156.58,0.39
156.78,0.00
156.98,0.38
157.18,0.00
157.38,0.38
157.58,0.00
157.78,0.38
157.98,0.00
158.18,0.38
158.38,0.00
158.58,0.39
158.78,0.00
158.98,0.00
159.18,0.40
159.38,0.00
159.58,0.39
159.78,0.00
159.98,0.40
160.18,0.00
160.38,0.38
160.58,0.00
160.78,0.37
160.98,0.00
161.18,0.38
161.38,0.00
161.58,0.38
161.78,0.00
161.98,0.38
162.18,0.00
162.38,0.38
162.58,0.00
162.78,0.38
162.98,0.00
163.18,0.39
163.38,0.00
163.58,0.00
163.78,0.39
163.98,0.00
164.18,0.39
164.38,0.00
164.58,0.40
164.78,0.00
164.98,0.41
165.18,0.00
165.38,0.39
165.58,0.00
165.78,0.38
165.98,0.00
166.18,0.39
166.38,0.00
166.58,0.39
166.78,0.00
166.98,0.39
167.18,0.00
167.38,0.41
167.58,0.00
167.78,0.40
167.98,0.00
168.18,0.40
168.38,0.00
168.58,14.21
168.78,0.00
168.98,0.00
169.18,0.39
169.38,0.00
169.58,0.40
169.78,0.00
169.98,0.40
170.18,0.00
170.38,0.39
170.58,0.00
170.78,0.39
170.98,0.00
171.18,0.39
171.38,0.00
171.58,0.39
171.78,0.00
171.98,0.40
172.18,0.00
172.38,0.40
172.58,0.00
172.78,0.39
172.98,0.00
173.18,0.39
173.38,0.00
173.58,0.39
173.78,0.00
173.98,0.37
174.18,0.00
174.38,0.00
174.58,0.39
174.78,0.00
174.98,0.41
175.18,0.00
175.38,0.41
175.58,0.00
175.78,0.41
175.98,0.00
176.18,0.39
176.38,0.00
176.58,0.38
176.78,0.00
176.98,0.39
177.18,0.00
177.38,0.40
177.58,0.00
177.78,0.39
177.98,0.00
178.18,0.38
178.38,0.00
178.58,0.38
178.78,0.00
178.98,0.00
179.18,0.39
179.38,0.00
179.58,0.39
179.78,0.00
179.98,0.39
180.18,0.00
180.38,0.40
180.58,0.00
180.78,0.40
180.98,0.00
181.18,0.40
181.38,0.00
181.58,0.40
181.78,0.00
181.98,0.39
182.18,0.00
182.38,0.38
182.58,0.00
182.78,0.38
182.98,0.00
183.18,0.38
183.38,0.00
183.58,0.00
183.78,0.40
183.98,0.00
184.18,0.39
184.38,0.00
