Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 93.8s: 0.0% different
Time 94.0s: 0.3% different
Time 94.2s: 0.3% different
Time 94.4s: 0.0% different
Time 94.6s: 0.3% different
Time 94.8s: 0.3% different
Time 95.0s: 0.3% different
Time 95.2s: 0.0% different
Time 95.4s: 0.3% different
Time 95.6s: 0.0% different
Time 95.8s: 0.3% different
Time 96.0s: 0.3% different
Time 96.2s: 0.0% different
Time 96.4s: 0.3% different
Time 96.6s: 0.3% different
Time 96.8s: 0.0% different
Time 97.0s: 0.3% different
Time 97.2s: 0.3% different
Time 97.4s: 0.3% different
Time 97.6s: 0.0% different
Time 97.8s: 0.3% different
Time 98.0s: 0.0% different
Time 98.2s: 0.3% different
Time 98.4s: 0.3% different
Time 98.6s: 0.3% different
Time 98.8s: 0.0% different
Time 99.0s: 0.3% different
Time 99.2s: 0.3% different
Time 99.4s: 0.0% different
Time 99.6s: 0.3% different
Time 99.8s: 0.3% different
Time 100.0s: 0.0% different
Time 100.2s: 0.3% different
Time 100.4s: 0.3% different
Time 100.6s: 0.0% different
Time 100.8s: 0.3% different
Time 101.0s: 0.3% different
Time 101.2s: 0.0% different
Time 101.4s: 0.3% different
Time 101.6s: 0.3% different
Time 101.8s: 0.0% different
Time 102.0s: 0.3% different
Time 102.2s: 0.3% different
Time 102.4s: 0.0% different
Time 102.6s: 0.3% different
Time 102.8s: 0.3% different
Time 103.0s: 0.0% different
Time 103.2s: 0.3% different
Time 103.4s: 0.3% different
Time 103.6s: 0.0% different
Time 103.8s: 0.3% different
Time 104.0s: 0.3% different
Time 104.2s: 0.0% different
Time 104.4s: 12.1% different

>>> SCREENSHOT A CAPTURED at 104.4s (12.1% >= 4.0%)
Time 104.6s: 0.3% different
Time 104.8s: 0.0% different
Time 105.0s: 0.3% different
Time 105.2s: 0.3% different
Time 105.4s: 0.0% different
Time 105.6s: 0.3% different
Time 105.8s: 0.3% different
Time 106.0s: 0.0% different
Time 106.2s: 0.3% different
Time 106.4s: 0.3% different
Time 106.6s: 0.0% different
Time 106.8s: 0.3% different
Time 107.0s: 0.3% different
Time 107.2s: 0.3% different
Time 107.4s: 0.0% different
Time 107.6s: 0.3% different
Time 107.8s: 0.0% different
Time 108.0s: 0.3% different
Time 108.2s: 0.3% different
Time 108.4s: 0.3% different
Time 108.6s: 0.0% different
Time 108.8s: 0.3% different
Time 109.0s: 0.3% different
Time 109.2s: 0.0% different
Time 109.4s: 0.3% different
Time 109.6s: 0.3% different
Time 109.8s: 0.0% different
Time 110.0s: 0.3% different
Time 110.2s: 0.3% different
Time 110.4s: 0.0% different
Time 110.6s: 0.3% different
Time 110.8s: 0.3% different
Time 111.0s: 0.0% different
Time 111.2s: 0.3% different
Time 111.4s: 0.3% different
Time 111.6s: 0.0% different
Time 111.8s: 0.3% different
Time 112.0s: 0.3% different
Time 112.2s: 0.0% different
Time 112.4s: 0.3% different
Time 112.6s: 0.3% different
Time 112.8s: 0.0% different
Time 113.0s: 0.3% different
Time 113.2s: 0.3% different
Time 113.4s: 0.0% different
Time 113.6s: 0.3% different
Time 113.8s: 0.3% different
Time 114.0s: 0.0% different
Time 114.2s: 0.3% different
Time 114.4s: 0.3% different
Time 114.6s: 0.0% different
Time 114.8s: 0.3% different
Time 115.0s: 0.3% different
Time 115.2s: 0.3% different
Time 115.4s: 0.0% different
Time 115.6s: 0.3% different
Time 115.8s: 0.0% different
Time 116.0s: 0.3% different
Time 116.2s: 0.3% different
Time 116.4s: 0.0% different
Time 116.6s: 0.3% different
Time 116.8s: 0.3% different
Time 117.0s: 0.3% different
Time 117.2s: 0.0% different
Time 117.4s: 0.3% different
Time 117.6s: 0.0% different
Time 117.8s: 0.3% different
Time 118.0s: 0.3% different
Time 118.2s: 0.3% different
Time 118.4s: 0.0% different
Time 118.6s: 11.9% different

>>> SCREENSHOT A CAPTURED at 118.6s (11.9% >= 4.0%)
Time 118.8s: 0.3% different
Time 119.0s: 0.0% different
